,SPCD,DIA_cm,HT_m,STATUSCD,CBH_m,CROWN_RADIUS_m,X_m,Y_m
16469,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2048854.6474227812,2089644.108273188
16470,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2048835.654006101,2089595.5951767107
16471,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2048859.9565376956,2089638.4959449496
16472,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2048869.4429227216,2089633.5112014185
16473,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2048836.583142322,2089639.1983895544
16474,122,74.422,32.004000000000005,1,14.4018,3.6417929985486,-2048840.18289866,2089624.3513623355
16475,122,13.208,11.5824,1,5.212079999999999,1.31798222804616,-2048832.7401667,2089606.5152135885
16476,122,13.208,11.5824,1,5.212079999999999,1.31798222804616,-2048869.5241161096,2089608.6902376893
16477,122,13.208,9.4488,1,4.25196,1.07519602814292,-2048856.0382515253,2089610.824009697
16478,122,13.208,9.4488,1,4.25196,1.07519602814292,-2048855.4618913685,2089613.2579965647
16479,122,12.954,9.144,1,4.572,0.9459202593632724,-2048844.4265885416,2089630.497417944
16480,122,12.954,9.144,1,4.572,0.9459202593632724,-2048859.9956361444,2089645.172774422
16481,122,36.576,26.5176,1,14.58468,2.4688518769381416,-2049026.181060804,2089591.7435820296
16482,122,22.606,19.2024,1,12.481560000000002,1.3905027812640107,-2049058.7539101948,2089584.5098559884
16483,122,22.606,19.2024,1,12.481560000000002,1.3905027812640107,-2049025.8701817468,2089612.399947264
16484,122,25.4,19.812,1,11.68908,1.6805849941354143,-2049052.776574716,2089593.0346158524
16485,122,25.4,19.812,1,11.68908,1.6805849941354143,-2049050.1448468105,2089592.939834165
16486,122,26.924,21.336,1,10.668,2.2071472718476364,-2049009.9869513167,2089594.2578223967
16487,122,13.97,15.24,1,11.43,0.7882668828027272,-2049027.0848090288,2089584.8049612865
16488,122,13.97,15.24,1,11.43,0.7882668828027272,-2049033.2340225305,2089605.063879209
16489,122,15.494,13.4112,2,,,-2049025.2923743303,2089586.900878334
16490,122,15.494,13.4112,2,,,-2049028.4047857171,2089571.2529799135
16491,122,,,2,,,-2049028.5037175051,2089588.086593872
16492,122,22.606,19.2024,1,10.56132,1.7877892901965853,-2049024.7103027904,2089582.9211834224
16493,122,22.606,19.2024,1,10.56132,1.7877892901965853,-2049043.353580432,2089613.3443369537
16494,122,17.526,14.3256,1,12.176760000000002,0.4445825219007381,-2049018.6572628173,2089600.783462485
16495,108,29.464,24.0792,1,15.65148,1.7436463447596322,-2049010.5271291917,2089610.5617283157
16496,108,29.464,24.0792,1,15.65148,1.7436463447596322,-2049022.33491948,2089575.1177760523
16497,108,26.162000000000003,25.6032,1,15.36192,2.1188613809737307,-2049007.1789668167,2089583.5644301367
16498,108,20.32,22.555200000000003,2,,,-2049010.777535492,2089603.024807475
16499,108,20.32,22.555200000000003,2,,,-2049032.146396348,2089596.1679677933
16500,108,29.21,26.2128,1,19.6596,1.3558190384206907,-2049019.292861948,2089592.736501594
16501,108,29.21,26.2128,1,19.6596,1.3558190384206907,-2049040.8354622228,2089593.457188089
16502,122,17.018,14.0208,1,7.71144,1.3053699579213165,-2049042.689170808,2089572.644134677
16503,122,17.018,14.0208,1,7.71144,1.3053699579213165,-2049047.047483804,2089606.27246306
16504,122,,,2,,,-2049011.6379992748,2089601.335908903
16505,122,68.58,35.3568,1,19.44624,3.2918025025841886,-2049038.39284782,2089570.318742356
16506,122,12.7,11.5824,1,6.94944,0.9585325294881162,-2049007.626920308,2089589.310304694
